organization,subject_code,subject_code_key,description,description_variants,units,offered_semesters,source_academic_years,prerequisite_codes,prerequisite_logic,prerequisite_confidence,possible_prerequisite_codes,possible_prerequisite_logic,professor_surnames,sections,prerequisite_notes
COE,LEAD8,LEAD8,Leadership 8,Leadership 8,1.5,2nd Semester,AY 2025-2026,LEAD7,ALL,INFERRED_SEQUENCE,NONE,NONE,JUVELYN|MARIEL,ELEM 401|ENG 401|FIL 401|SOC 401,Clear course sequence inferred from subject codes/descriptions.
COE,LINGGWIS,LINGGWIS,Panimulang Linggwistika,Panimulang Linggwistika,3,1st Semester,AY 2026-2027,NONE,NONE,NONE_IDENTIFIED,NONE,NONE,MARQUEZ,FIL 201,No clear prerequisite identified from the uploaded schedules.
COE,LINGUIST,LINGUIST,Introduction to Linguistics,Introduction to Linguistics,3,2nd Semester,AY 2025-2026,NONE,NONE,NONE_IDENTIFIED,NONE,NONE,BADILLA,ENG 101,No clear prerequisite identified from the uploaded schedules.
COE,LITCRIT,LITCRIT,Literary Criticism,Literary Criticism,3,2nd Semester,AY 2025-2026,NONE,NONE,NONE_IDENTIFIED,NONE,NONE,ALOC,ENG 301|ENG 302,No clear prerequisite identified from the uploaded schedules.
COE,MACROECO,MACROECO,Macro Economics,Macro Economics,3,1st Semester,AY 2026-2027,NONE,NONE,NONE_IDENTIFIED,NONE,NONE,VARCA,SOC 301,No clear prerequisite identified from the uploaded schedules.
COE,MATDEV,MATDEV,Preparation of Language Learning Materials,Preparation of Language Learning Materials,3,1st Semester,AY 2026-2027,NONE,NONE,NONE_IDENTIFIED,NONE,NONE,UNASSIGNED,ENG 301,No clear prerequisite identified from the uploaded schedules.
COE,MATHINV,MATHINV,Mathematics of Investment,Mathematics of Investment,3,1st Semester,AY 2026-2027,NONE,NONE,NONE_IDENTIFIED,NONE,NONE,SORIANO,EDUC 101|EDUC 102|EDUC 103|EDUC 104|EDUC 105|EDUC 106|EDUC 107,No clear prerequisite identified from the uploaded schedules.
COE,MATHWRLD,MATHWRLD,Mathematics in the Modern World,Mathematics in the Modern World,3,2nd Semester,AY 2025-2026,NONE,NONE,NONE_IDENTIFIED,NONE,NONE,AMPARAD|AMPARADO|SANGCO|SORIANO,ELEM101|ELEM102|ELEM103|ELEM104|ENG 101|FIL 101|SOCSCI 101|VAL 101,No clear prerequisite identified from the uploaded schedules.
COE,MICROECO,MICROECO,Micro Economics,Micro Economics,3,2nd Semester,AY 2025-2026,NONE,NONE,NONE_IDENTIFIED,NONE,NONE,VARCA,SOC 201,No clear prerequisite identified from the uploaded schedules.
COE,MYTH,MYTH,Mythology and Folklore,Mythology and Folklore,3,1st Semester|2nd Semester,AY 2025-2026|AY 2026-2027,NONE,NONE,NONE_IDENTIFIED,NONE,NONE,DELA PENA,ENG 201|ENG 202,No clear prerequisite identified from the uploaded schedules.
COE,NSTP 1,NSTP1,National Service Training Program 1,National Service Training Program 1,3,1st Semester,AY 2026-2027,NONE,NONE,NONE_IDENTIFIED,NONE,NONE,MARTER,EDUC 101|EDUC 102|EDUC 103|EDUC 104|EDUC 105|EDUC 106|EDUC 107,No clear prerequisite identified from the uploaded schedules.
COE,NSTP 2,NSTP2,National Service Training Program 2,National Service Training Program 2,3,2nd Semester,AY 2025-2026,NSTP1,ALL,INFERRED_SEQUENCE,NONE,NONE,CUBACUB|MARTER,ELEM101|ELEM102|ELEM103|ELEM104|ENG 101|FIL 101|SOCSCI 101|VAL 101,Clear course sequence inferred from subject codes/descriptions.
COE,OBRABASA,OBRABASA,Pagbasa ng mga Obra Maestrang Filipino,Pagbasa ng mga Obra Maestrang Filipino,3,1st Semester,AY 2026-2027,NONE,NONE,NONE_IDENTIFIED,NONE,NONE,CALANGIAN,FIL 301|FIL 302,No clear prerequisite identified from the uploaded schedules.
COE,PANBAN,PANBAN,Panitikan ng Umuunlad na Bansa,Panitikan ng Umuunlad na Bansa,2,2nd Semester,AY 2025-2026,NONE,NONE,NONE_IDENTIFIED,NONE,NONE,CALANGIAM|CALANGIAN,FIL 201|FIL 202,No clear prerequisite identified from the uploaded schedules.
COE,PANDAIGDIG,PANDAIGDIG,Panitikang Pandaigdig,Panitikang Pandaigdig,3,1st Semester,AY 2026-2027,NONE,NONE,NONE_IDENTIFIED,NONE,NONE,EVANGELISTA,FIL 301|FIL 302,No clear prerequisite identified from the uploaded schedules.
COE,PANPAM,PANPAM,Panunuring Pampanitikan,Panunuring Pampanitikan,3,1st Semester,AY 2026-2027,NONE,NONE,NONE_IDENTIFIED,NONE,NONE,PABELARIO,FIL 301|FIL 302,No clear prerequisite identified from the uploaded schedules.
COE,PANREH,PANREH,Panitikan ng Rehiyon,Panitikan ng Rehiyon,3,1st Semester,AY 2026-2027,NONE,NONE,NONE_IDENTIFIED,NONE,NONE,UNASSIGNED,FIL 201,No clear prerequisite identified from the uploaded schedules.
COE,PATHFIT1,PATHFIT1,Physical Activity Towards Health and Fitness,Physical Activity Towards Health and Fitness,2,1st Semester,AY 2026-2027,NONE,NONE,NONE_IDENTIFIED,NONE,NONE,MONTEBON|NABUAB,EDUC 101|EDUC 102|EDUC 103|EDUC 104|EDUC 105|EDUC 106|EDUC 107,No clear prerequisite identified from the uploaded schedules.
COE,PATHFIT2,PATHFIT2,Exercise-Based Course,Exercise-Based Course | Exercise-based Fitness Activities,2,2nd Semester,AY 2025-2026,PATHFIT1,ALL,INFERRED_SEQUENCE,NONE,NONE,LORETO|MONTEBON|OLET|PORTILES|SALAZAR,ELEM101|ELEM102|ELEM103|ELEM104|ENG 101|FIL 101|SOCSCI 101|VAL 101,Clear course sequence inferred from subject codes/descriptions.
COE,PATHFIT3,PATHFIT3,Dance and Fitness Wellness,Dance and Fitness Wellness,2,1st Semester,AY 2026-2027,PATHFIT2,ALL,INFERRED_SEQUENCE,NONE,NONE,MONTEBON|NABUAB,ELEM 201|ELEM 202|ELEM 203|ENG 201|FIL 201|SOCSCI 201|VAL 201,Clear course sequence inferred from subject codes/descriptions.
COE,PATHFIT 4,PATHFIT4,Sports,Sports,2,2nd Semester,AY 2025-2026,PATHFIT3,ALL,INFERRED_SEQUENCE,NONE,NONE,OLET|SALAZAR,ENG 201|FIL 201|FIL 202|SOC 201|VAL 201,Clear course sequence inferred from subject codes/descriptions.
COE,PE 4,PE4,Team Sports,Team Sports,2,1st Semester|2nd Semester,AY 2025-2026|AY 2026-2027,PATHFIT3,ALL,INFERRED_SEQUENCE,NONE,NONE,GABUYA|PALADA,ELEM 201|ELEM 202|ENG 202,PE 4 appears as the fourth PE/PATHFIT subject after PATHFIT 3.
COE,PHILHIS,PHILHIS,Readings in Philippine History,Readings in Philippine History,3,1st Semester,AY 2026-2027,NONE,NONE,NONE_IDENTIFIED,NONE,NONE,CORRALES|CUISON|PERALTA,EDUC 101|EDUC 102|EDUC 103|EDUC 104|EDUC 105|EDUC 106|EDUC 107,No clear prerequisite identified from the uploaded schedules.
COE,PHILIT,PHILIT,Survey of Philippine Literature in English,Survey of Philippine Literature in English,3,2nd Semester,AY 2025-2026,NONE,NONE,NONE_IDENTIFIED,NONE,NONE,ALOC,ENG 301|ENG 302,No clear prerequisite identified from the uploaded schedules.
COE,PHILLET,PHILLET,Philosophical and Ethical Foundations of Values Education,Philosophical and Ethical Foundations of Values Education,3,1st Semester,AY 2026-2027,NONE,NONE,NONE_IDENTIFIED,NONE,NONE,MAESTRO,VAL 201,No clear prerequisite identified from the uploaded schedules.
COE,PHILSOC,PHILSOC,Philippine Culture and Society,Philippine Culture and Society,3,1st Semester,AY 2026-2027,NONE,NONE,NONE_IDENTIFIED,NONE,NONE,COMPETENTE,VAL 201,No clear prerequisite identified from the uploaded schedules.
COE,PLANDWORLD,PLANDWORLD,Places and Landscape in a Changing World,Places and Landscape in a Changing World,3,1st Semester,AY 2026-2027,NONE,NONE,NONE_IDENTIFIED,NONE,NONE,TULOD,SOCSCI 201,No clear prerequisite identified from the uploaded schedules.
COE,POLGOV,POLGOV,Politics and Governance with Philippine Constitution,Politics and Governance with Philippine Constitution,3,1st Semester,AY 2026-2027,NONE,NONE,NONE_IDENTIFIED,NONE,NONE,CORRALES,SOCSCI 201,No clear prerequisite identified from the uploaded schedules.
COE,POPLIT,POPLIT,Contemporary and Popular Literature,Contemporary and Popular Literature,3,2nd Semester,AY 2025-2026,NONE,NONE,NONE_IDENTIFIED,NONE,NONE,DELA PENA,ENG 301|ENG 302,No clear prerequisite identified from the uploaded schedules.
COE,PRACTICU,PRACTICU,Teaching Internship,Teaching Internship,6,2nd Semester,AY 2025-2026,NONE,NONE,NONE_IDENTIFIED,FS2,ALL,DUYAN|VILLANUEVA,ELEM 401|ENG 401|FIL 401|SOC 401,No clear prerequisite identified from the uploaded schedules. Possible review: Teaching Internship commonly follows completion of Field Study 2.
COE,PRODMAT,PRODMAT,Production of Social Studies Instructional Materials,Production of Social Studies Instructional Materials,3,1st Semester,AY 2026-2027,NONE,NONE,NONE_IDENTIFIED,NONE,NONE,MAESTRO,SOC 301,No clear prerequisite identified from the uploaded schedules.
COE,PROGPOL,PROGPOL,Language Program and Policies in Multilingual Societies,Language Program and Policies in Multilingual Societies,3,1st Semester,AY 2026-2027,NONE,NONE,NONE_IDENTIFIED,NONE,NONE,SANCHEZ,ENG 301,No clear prerequisite identified from the uploaded schedules.
COE,PSPEAK,PSPEAK,Public Speaking,Public Speaking,3,2nd Semester,AY 2025-2026,NONE,NONE,NONE_IDENTIFIED,NONE,NONE,BADILLA|MERCADER,ELEM101|ELEM102|ELEM103|ELEM104|ENG 101|FIL 101|SOCSCI 101|VAL 101,No clear prerequisite identified from the uploaded schedules.
COE,PSYCHVAL,PSYCHVAL,Psychological Theories of Values Development,Psychological Theories of Values Development,3,2nd Semester,AY 2025-2026,NONE,NONE,NONE_IDENTIFIED,NONE,NONE,JUMADIAO,VAL 201,No clear prerequisite identified from the uploaded schedules.
COE,PSYSPRIT,PSYSPRIT,Psycho-Spiritual Developmwnt.,Psycho-Spiritual Developmwnt.,3,2nd Semester,AY 2025-2026,NONE,NONE,NONE_IDENTIFIED,NONE,NONE,JUMADIAO,VAL 201,No clear prerequisite identified from the uploaded schedules.
COE,PURPCOMM,PURPCOMM,Purposive Communication,Purposive Communication,3,1st Semester,AY 2026-2027,NONE,NONE,NONE_IDENTIFIED,NONE,NONE,BADILLA|CUADRA,EDUC 101|EDUC 102|EDUC 103|EDUC 104|EDUC 105|EDUC 106|EDUC 107,No clear prerequisite identified from the uploaded schedules.
COE,REMINST,REMINST,Remedial Instruction,Remedial Instruction,3,1st Semester,AY 2026-2027,NONE,NONE,NONE_IDENTIFIED,NONE,NONE,BADILLA,ENG 401|ENG 402,No clear prerequisite identified from the uploaded schedules.
COE,RES 2,RES2,Language Research 2,Language Research 2 | Research in Elementary Education 2,3,1st Semester,AY 2026-2027,RESELEM1|RESENG1,ANY,INFERRED_SEQUENCE,NONE,NONE,BRAVO,ELEM 401|ELEM 402|ENG 401|ENG 402,Research 2 follows the relevant Research 1 subject; the correct code depends on the education program.
COE,RESELEM1,RESELEM1,Research in Elementary Education 1,Research in Elementary Education 1,3,2nd Semester,AY 2025-2026,NONE,NONE,NONE_IDENTIFIED,NONE,NONE,ASIA|BRAVO,ELEM 301|ELEM 302|ELEM 303|ELEM 304,No clear prerequisite identified from the uploaded schedules.
COE,RESENG 1,RESENG1,Language Research 1,Language Research 1,2,2nd Semester,AY 2025-2026,NONE,NONE,NONE_IDENTIFIED,NONE,NONE,DELA PENA,ENG 301|ENG 302,No clear prerequisite identified from the uploaded schedules.
COE,RIZAL,RIZAL,Rizal's Life & Works,Life and Works of Dr. Jose Rizal | Rizal's Life & Works,3,1st Semester|2nd Semester,AY 2025-2026|AY 2026-2027,NONE,NONE,NONE_IDENTIFIED,NONE,NONE,ABUBO|CORRALES|LEI|MAESTRO|SANGCO|TULOD,ELEM101|ELEM102|ELEM103|ELEM104|ENG 301|ENG 302|FIL 201|SOCSCI 201,No clear prerequisite identified from the uploaded schedules.
COE,SALIN,SALIN,Introduksyon sa Pagsasalin,Introduksyon sa Pagsasalin,3,1st Semester,AY 2026-2027,NONE,NONE,NONE_IDENTIFIED,NONE,NONE,MARQUEZ,FIL 301|FIL 302,No clear prerequisite identified from the uploaded schedules.
COE,SCITECH,SCITECH,"Science, Technology, and Society","Science, Technology and Society | Science, Technology, and Society",3,2nd Semester,AY 2025-2026,NONE,NONE,NONE_IDENTIFIED,NONE,NONE,DELGADO|LEI|PARTO|TAN,ELEM101|ELEM102|ELEM103|ELEM104|ENG 101|FIL 101|SOCSCI 101|VAL 101,No clear prerequisite identified from the uploaded schedules.
COE,SOCIOCUL,SOCIOCUL,Socio-Cultural Anthropology,Socio-Cultural Anthropology,3,2nd Semester,AY 2025-2026,NONE,NONE,NONE_IDENTIFIED,NONE,NONE,PERALTA,SOC 201,No clear prerequisite identified from the uploaded schedules.
COE,SOSLIT,SOSLIT,Sosyedad at Literatura/Panitikang Panlipunan,Sosyedad at Literatura | Sosyedad at Literatura/Panitikang Panlipunan,3,1st Semester,AY 2026-2027,NONE,NONE,NONE_IDENTIFIED,NONE,NONE,CUISON|DE ASIS|EVANGELISTA,ELEM 201|ELEM 202|ELEM 203|ENG 201|FIL 201|SOCSCI 201|VAL 201,No clear prerequisite identified from the uploaded schedules.
COE,STARTS,STARTS,Speech and Theater Arts,Speech and Theater Arts,3,1st Semester|2nd Semester,AY 2025-2026|AY 2026-2027,NONE,NONE,NONE_IDENTIFIED,NONE,NONE,BADILLA,ENG 201|ENG 202,No clear prerequisite identified from the uploaded schedules.
COE,TASGRAM,TASGRAM,Teaching and Assessment of Grammar,Teaching and Assessment of Grammar,3,1st Semester,AY 2026-2027,NONE,NONE,NONE_IDENTIFIED,NONE,NONE,BADILLA,ENG 301,No clear prerequisite identified from the uploaded schedules.
COE,TASLIT,TASLIT,Teaching and Assessment of Literature,Teaching and Assessment of Literature,3,1st Semester,AY 2026-2027,NONE,NONE,NONE_IDENTIFIED,NONE,NONE,MERCADER,ENG 301,No clear prerequisite identified from the uploaded schedules.
COE,TASMAC,TASMAC,Teaching and Assessment of the Macroskills,Teaching and Assessment of the Macroskills,3,1st Semester,AY 2026-2027,NONE,NONE,NONE_IDENTIFIED,NONE,NONE,UNASSIGNED,ENG 301,No clear prerequisite identified from the uploaded schedules.
COE,TCP 1,TCP1,Technology for Teaching and Learning,Technology for Teaching and Learning,3,1st Semester,AY 2026-2027,NONE,NONE,NONE_IDENTIFIED,NONE,NONE,UNASSIGNED,TCP,No clear prerequisite identified from the uploaded schedules.
COE,TCP 2,TCP2,Assessment in Learning,Assessment in Learning,3,1st Semester,AY 2026-2027,NONE,NONE,NONE_IDENTIFIED,NONE,NONE,PERALTA,TCP,No clear prerequisite identified from the uploaded schedules.
COE,TCP 3,TCP3,Principles of Teaching,Principles of Teaching,3,1st Semester,AY 2026-2027,NONE,NONE,NONE_IDENTIFIED,NONE,NONE,UNASSIGNED,TCP,No clear prerequisite identified from the uploaded schedules.
COE,TCP 4,TCP4,CHILD AND ADOLESCENT DEVELOPMENT,CHILD AND ADOLESCENT DEVELOPMENT,3,2nd Semester,AY 2025-2026,NONE,NONE,NONE_IDENTIFIED,NONE,NONE,BELISARIO,TCP,No clear prerequisite identified from the uploaded schedules.
COE,TCP 5,TCP5,DEVELOPMENTAL READING,DEVELOPMENTAL READING,3,2nd Semester,AY 2025-2026,NONE,NONE,NONE_IDENTIFIED,NONE,NONE,BRAVO,TCP,No clear prerequisite identified from the uploaded schedules.
COE,TCP 6,TCP6,THE TEACHING PROFESSION,THE TEACHING PROFESSION,3,2nd Semester,AY 2025-2026,NONE,NONE,NONE_IDENTIFIED,NONE,NONE,PERALTA,TCP,No clear prerequisite identified from the uploaded schedules.
COE,TEAORG,TEAORG,"The Teacher and Community, School Culture, and Organizational Leadership","The Teacher and Community, School Culture, and Organizational Leadership",3,1st Semester|2nd Semester,AY 2025-2026|AY 2026-2027,NONE,NONE,NONE_IDENTIFIED,NONE,NONE,ABUBO|BEJOSA|BRAVO|DUYAN|SANCHEZ|SANTOS,ELEM 201|ELEM 202|ENG 201|ENG 202|FIL 201|FIL 202|SOC 201|VAL 201,No clear prerequisite identified from the uploaded schedules.
COE,TEARTS,TEARTS,Teaching Arts in the Elementary Grades,Teaching Arts in the Elementary Grades,3,1st Semester,AY 2026-2027,NONE,NONE,NONE_IDENTIFIED,NONE,NONE,NABUAB,ELEM 301|ELEM 302,No clear prerequisite identified from the uploaded schedules.
COE,TEASCURR,TEASCURR,The Teacher and The School Curriculum,The Teacher and The School Curriculum,3,1st Semester|2nd Semester,AY 2025-2026|AY 2026-2027,NONE,NONE,NONE_IDENTIFIED,NONE,NONE,BARAQUIEL|BELISARIO|BRAVO|SANCHEZ|VILLANUEVA,ELEM 201|ELEM 202|ENG 201|ENG 202|FIL 201|FIL 202|SOC 201|VAL 201,No clear prerequisite identified from the uploaded schedules.
COE,TECHWRIT,TECHWRIT,Technical Writing,Technical Writing,3,1st Semester|2nd Semester,AY 2025-2026|AY 2026-2027,NONE,NONE,NONE_IDENTIFIED,NONE,NONE,BADILLA,ENG 201|ENG 202,No clear prerequisite identified from the uploaded schedules.
COE,TFIL 1,TFIL1,Pagtuturo ng Filipino sa Elementarya (1) (Estruktura at Gamit ng Wikang Filipno),Pagtuturo ng Filipino sa Elementarya (1) (Estruktura at Gamit ng Wikang Filipno),3,1st Semester,AY 2026-2027,NONE,NONE,NONE_IDENTIFIED,NONE,NONE,CALANGIAN,ELEM 201|ELEM 202|ELEM 203,No clear prerequisite identified from the uploaded schedules.
COE,TFIL 2,TFIL2,Pagtuturo ng Filipino sa Elementarya (2) (Panitikan ng Pilipinas),Pagtuturo ng Filipino sa Elementarya (2) (Panitikan ng Pilipinas),3,2nd Semester,AY 2025-2026,TFIL1,ALL,INFERRED_SEQUENCE,NONE,NONE,CALANGIAN,ELEM 201|ELEM 202,Clear course sequence inferred from subject codes/descriptions.
COE,TLARTS,TLARTS,Teaching English in the Elementary Grades (Language Arts),Teaching English in the Elementary Grades (Language Arts),3,1st Semester,AY 2026-2027,NONE,NONE,NONE_IDENTIFIED,NONE,NONE,BADILLA,ELEM 301|ELEM 302,No clear prerequisite identified from the uploaded schedules.
COE,TLIT,TLIT,Teaching English in the Elementary Grades through Literature,Teaching English in the Elementary Grades through Literature,3,1st Semester,AY 2026-2027,NONE,NONE,NONE_IDENTIFIED,NONE,NONE,MERCADER,ELEM 301|ELEM 302,No clear prerequisite identified from the uploaded schedules.
COE,TMATH 1,TMATH1,Teaching Math in Primary Grades,Teaching Math in Primary Grades,3,1st Semester,AY 2026-2027,NONE,NONE,NONE_IDENTIFIED,NONE,NONE,SANGCO,ELEM 201|ELEM 202|ELEM 203,No clear prerequisite identified from the uploaded schedules.
COE,TMATH 2,TMATH2,Teaching Math in Intermidiate Grades,Teaching Math in Intermidiate Grades,3,2nd Semester,AY 2025-2026,TMATH1,ALL,INFERRED_SEQUENCE,NONE,NONE,SANGCO,ELEM 201|ELEM 202,Clear course sequence inferred from subject codes/descriptions.
COE,TMGC,TMGC,Teaching Multi-Grade Classes,Teaching Multi-Grade Classes,3,2nd Semester,AY 2025-2026,NONE,NONE,NONE_IDENTIFIED,NONE,NONE,BEJOSA,ELEM 301|ELEM 302|ELEM 303|ELEM 304,No clear prerequisite identified from the uploaded schedules.
COE,TMUSIC,TMUSIC,Teaching Music in the Elementary Grades,Teaching Music in the Elementary Grades,3,1st Semester,AY 2026-2027,NONE,NONE,NONE_IDENTIFIED,NONE,NONE,UNASSIGNED,ELEM 301|ELEM 302,No clear prerequisite identified from the uploaded schedules.
COE,TPEH,TPEH,Teaching PE and Health in the Elementary Grades,Teaching PE and Health in the Elementary Grades,3,2nd Semester,AY 2025-2026,NONE,NONE,NONE_IDENTIFIED,NONE,NONE,MONTEBON|NABUAB|OLET,ELEM 301|ELEM 302|ELEM 303|ELEM 304,No clear prerequisite identified from the uploaded schedules.
COE,TPROF,TPROF,The Teaching Profession,The Teaching Profession,3,1st Semester,AY 2026-2027,NONE,NONE,NONE_IDENTIFIED,NONE,NONE,BARAQUIEL|SANCHEZ,ELEM 201|ELEM 202|ELEM 203|ENG 201|FIL 201|SOCSCI 201|VAL 201,No clear prerequisite identified from the uploaded schedules.
COE,TRANSED,TRANSED,Transformative Education,Transformative Education,3,1st Semester,AY 2026-2027,NONE,NONE,NONE_IDENTIFIED,NONE,NONE,COMPETENTE,VAL 301,No clear prerequisite identified from the uploaded schedules.
COE,TRENDSOC,TRENDSOC,Trends and Issues in Social Studies,Trends and Issues in Social Studies,3,1st Semester,AY 2026-2027,NONE,NONE,NONE_IDENTIFIED,NONE,NONE,TULOD,SOC 301,No clear prerequisite identified from the uploaded schedules.
COE,TSCI 1,TSCI1,Teaching Science in the Elementary Grades (Biology and Chemistry),Teaching Science in Elementary Grades (Biology and Chemistry) | Teaching Science in the Elementary Grades (Biology and Chemistry),3,1st Semester,AY 2026-2027,NONE,NONE,NONE_IDENTIFIED,NONE,NONE,BRAVO,ELEM 201|ELEM 202|ELEM 203,No clear prerequisite identified from the uploaded schedules.
COE,TSCI 2,TSCI2,Teaching Science in Elementary Grades (Biology and Chemistry),Teaching Science in Elementary Grades (Biology and Chemistry),3,2nd Semester,AY 2025-2026,TSCI1,ALL,INFERRED_SEQUENCE,NONE,NONE,BELISARIO|TAN,ELEM 201|ELEM 202,Clear course sequence inferred from subject codes/descriptions.
COE,TSS 1,TSS1,Teaching Social Studies in the Elementary Grades (Culture and Geography),Teaching Social Studies in Elementary Grades (Philippine History and Government) | Teaching Social Studies in the Elementary Grades (Culture and Geography),3,1st Semester,AY 2026-2027,NONE,NONE,NONE_IDENTIFIED,NONE,NONE,BARAQUIEL,ELEM 201|ELEM 202|ELEM 203,No clear prerequisite identified from the uploaded schedules.
COE,TSS 2,TSS2,Teaching Social Studies in Elementary Grades (Philippine History and Government),Teaching Social Studies in Elementary Grades (Philippine History and Government),3,1st Semester,AY 2026-2027,TSS1,ALL,INFERRED_SEQUENCE,NONE,NONE,TULOD,ELEM 301|ELEM 302,Clear course sequence inferred from subject codes/descriptions.
COE,UNDSELF,UNDSELF,Understanding the Self/Pagunawa sa Sarili,Understanding the Self/Pagunawa sa Sarili,3,1st Semester,AY 2026-2027,NONE,NONE,NONE_IDENTIFIED,NONE,NONE,UNASSIGNED,EDUC 101|EDUC 102|EDUC 103|EDUC 104|EDUC 105|EDUC 106|EDUC 107,No clear prerequisite identified from the uploaded schedules.
COE,VISART,VISART,Reading Visual Art,Reading Visual Art,3,2nd Semester,AY 2025-2026,NONE,NONE,NONE_IDENTIFIED,NONE,NONE,CUADRA|CUISON|MERCADER|PORTILES|RICO,ELEM101|ELEM102|ELEM103|ELEM104|ENG 101|FIL 101|SOCSCI 101|VAL 101,No clear prerequisite identified from the uploaded schedules.
COE,WORLDHIS1,WORLDHIS1,World History 1 - Ancient and Medieval Era,World History 1 - Ancient and Medieval Era,3,1st Semester,AY 2026-2027,NONE,NONE,NONE_IDENTIFIED,NONE,NONE,UNASSIGNED,SOC 301,No clear prerequisite identified from the uploaded schedules.
COA,AACAP 1,AACAP1,AUDITING & ASSURANCE: CONCEPTS AND PRINCIPLES 1,AUDITING & ASSURANCE: CONCEPTS AND PRINCIPLES 1,3,1st Semester,AY 2026-2027,NONE,NONE,NONE_IDENTIFIED,NONE,NONE,UNASSIGNED,ACC 301|ACC 302|ACC 303,No clear prerequisite identified from the uploaded schedules.
COA,AAPRIN,AAPRIN,AUDITING & ASSURANCE PRINCIPLES,AUDITING & ASSURANCE PRINCIPLES,3,1st Semester,AY 2026-2027,NONE,NONE,NONE_IDENTIFIED,NONE,NONE,UNASSIGNED,ACC 301|ACC 302|ACC 303,No clear prerequisite identified from the uploaded schedules.
COA,AASPIN,AASPIN,AUDITING & ASSURANCE: SPECIALIZED INDUSTRY,AUDITING & ASSURANCE: SPECIALIZED INDUSTRY,3,2nd Semester,AY 2025-2026,NONE,NONE,NONE_IDENTIFIED,ACCAP2,ALL,UNASSIGNED,ACC 301|ACC 302|ACC 303,No clear prerequisite identified from the uploaded schedules. Possible review: Specialized-industry auditing commonly follows the second auditing and assurance course.
COA,ACCAP2,ACCAP2,AUDITING & ASSURANCE: CONCEPTS AND APPLICATIONS 2,AUDITING & ASSURANCE: CONCEPTS AND APPLICATIONS 2,3,2nd Semester,AY 2025-2026,NONE,NONE,NONE_IDENTIFIED,AACAP1,ALL,BARBIN|COSIMA,ACC 301|ACC 302|ACC 303,No clear prerequisite identified from the uploaded schedules. Possible review: Auditing and Assurance Concepts/Application 2 appears to follow the corresponding first course.
COA,ACCBC,ACCBC,ACCOUNTING FOR BUSINESS COMBINATION,ACCOUNTING FOR BUSINESS COMBINATION,3,1st Semester,AY 2026-2027,NONE,NONE,NONE_IDENTIFIED,NONE,NONE,UNASSIGNED,ACC 301|ACC 302|ACC 303,No clear prerequisite identified from the uploaded schedules.
COA,ACCINS,ACCINS,ACCOUNTING INFORMATION SYSTEM,ACCOUNTING INFORMATION SYSTEM,3,2nd Semester,AY 2025-2026,NONE,NONE,NONE_IDENTIFIED,NONE,NONE,BESCORO,ACC 201|ACC 202|ACC 203,No clear prerequisite identified from the uploaded schedules.
COA,ACCINTERN,ACCINTERN,ACCOUNTING INTERNSHIP,ACCOUNTING INTERNSHIP,6,1st Semester,AY 2026-2027,NONE,NONE,NONE_IDENTIFIED,NONE,NONE,UNASSIGNED,ACC 401|ACC 402|ACC 403,No clear prerequisite identified from the uploaded schedules.
COA,ACCREM,ACCREM,ACCOUNTING RESEARCH METHOD,ACCOUNTING RESEARCH METHOD,3,2nd Semester,AY 2025-2026,NONE,NONE,NONE_IDENTIFIED,NONE,NONE,MEDINA-CRUZ,ACC 301|ACC 302|ACC 303,No clear prerequisite identified from the uploaded schedules.
COA,ACCRES,ACCRES,ACCOUNTANCY RESEARCH,ACCOUNTANCY RESEARCH,3,1st Semester,AY 2026-2027,NONE,NONE,NONE_IDENTIFIED,ACCREM,ALL,UNASSIGNED,ACC 401|ACC 402|ACC 403,No clear prerequisite identified from the uploaded schedules. Possible review: Accountancy Research commonly follows Accounting Research Methods.
COA,ACCST,ACCST,ACCOUNTING FOR SPECIAL TRANSACTION,ACCOUNTING FOR SPECIAL TRANSACTION,3,1st Semester,AY 2026-2027,NONE,NONE,NONE_IDENTIFIED,NONE,NONE,UNASSIGNED,ACC 301|ACC 302|ACC 303,No clear prerequisite identified from the uploaded schedules.
COA,AGOVNPO,AGOVNPO,ACCOUNTING FOR GOVERNMENT AND NON-PROFIT ORGANIZATION,ACCOUNTING FOR GOVERNMENT AND NON-PROFIT ORGANIZATION,3,2nd Semester,AY 2025-2026,NONE,NONE,NONE_IDENTIFIED,NONE,NONE,RAMOS,ACC 301|ACC 302|ACC 303,No clear prerequisite identified from the uploaded schedules.
COA,ARTAPP,ARTAPP,Art Appreciation,Art Appreciation,3,2nd Semester,AY 2025-2026,NONE,NONE,NONE_IDENTIFIED,NONE,NONE,CARPILA|GALLEN,ACC 201|ACC 202|ACC 203,No clear prerequisite identified from the uploaded schedules.
COA,AUCISE,AUCISE,AUDITING IN CIS ENVIRONMENT,AUDITING IN CIS ENVIRONMENT,3,2nd Semester,AY 2025-2026,NONE,NONE,NONE_IDENTIFIED,NONE,NONE,BESCORO,ACC 301|ACC 302|ACC 303,No clear prerequisite identified from the uploaded schedules.
